timestamp,eye_ratio,head_angle,status,duration
2025-07-13 11:45:54,0.3017,89.17,Active :),0.00
2025-07-13 11:45:54,0.2956,88.77,Active :),0.00
2025-07-13 11:45:54,0.2886,88.77,Active :),0.00
2025-07-13 11:45:54,0.2886,88.56,Active :),0.00
2025-07-13 11:45:54,0.2888,88.35,Active :),0.00
2025-07-13 11:45:54,0.2896,88.15,Active :),0.00
2025-07-13 11:45:54,0.2925,87.83,Drowsy !,0.00
2025-07-13 11:45:54,0.2932,87.59,Drowsy !,0.04
2025-07-13 11:45:54,0.2936,87.22,Drowsy !,0.08
2025-07-13 11:45:56,0.3394,88.10,Active :),1.11
2025-07-13 11:45:56,0.3414,88.72,Active :),1.16
2025-07-13 11:45:56,0.3402,89.30,Active :),1.21
2025-07-13 11:45:56,0.3398,89.83,Active :),1.25
2025-07-13 11:45:56,0.3376,90.37,Active :),1.29
2025-07-13 11:45:56,0.3361,90.91,Active :),1.34
2025-07-13 11:45:56,0.3372,91.36,Active :),1.38
2025-07-13 11:45:56,0.3353,91.74,Active :),1.44
2025-07-13 11:45:56,0.3326,92.11,Active :),1.48
2025-07-13 11:45:56,0.3317,92.32,Active :),1.52
2025-07-13 11:45:56,0.3319,92.41,Active :),1.57
2025-07-13 11:45:56,0.3304,92.49,Active :),1.61
2025-07-13 11:45:56,0.3297,92.62,Active :),1.65
2025-07-13 11:45:56,0.3269,92.57,Active :),0.00
2025-07-13 11:45:56,0.3253,92.58,Active :),0.04
2025-07-13 11:45:56,0.3214,92.58,Active :),0.00
2025-07-13 11:45:56,0.3194,92.59,Active :),0.00
2025-07-13 11:45:56,0.3184,92.59,Active :),0.00
2025-07-13 11:45:56,0.3147,92.59,Active :),0.00
2025-07-13 11:45:56,0.3115,92.46,Active :),0.00
2025-07-13 11:45:56,0.3086,92.46,Active :),0.00
2025-07-13 11:45:56,0.3066,92.42,Drowsy !,0.00
2025-07-13 11:45:56,0.3039,92.38,Drowsy !,0.04
2025-07-13 11:45:58,0.3164,92.49,Drowsy !,0.84
2025-07-13 11:45:58,0.3143,92.57,Drowsy !,0.88
2025-07-13 11:45:58,0.3117,92.61,Drowsy !,0.92
2025-07-13 11:45:58,0.3130,92.61,Drowsy !,0.96
2025-07-13 11:45:58,0.3138,92.61,Drowsy !,1.00
2025-07-13 11:45:58,0.3165,92.57,Drowsy !,1.04
2025-07-13 11:45:58,0.3206,92.57,Drowsy !,1.08
2025-07-13 11:45:58,0.3264,92.58,Drowsy !,1.12
2025-07-13 11:45:58,0.3294,92.62,Drowsy !,1.18
2025-07-13 11:45:58,0.3312,92.71,Active :),1.22
2025-07-13 11:45:58,0.3328,92.79,Active :),1.26
2025-07-13 11:45:58,0.3376,92.83,Active :),1.30
2025-07-13 11:45:58,0.3405,92.88,Active :),1.34
2025-07-13 11:45:58,0.3394,92.96,Active :),1.38
2025-07-13 11:45:58,0.3390,93.09,Active :),1.42
2025-07-13 11:45:58,0.3367,93.26,Active :),1.46
2025-07-13 11:45:58,0.3345,93.38,Active :),1.51
2025-07-13 11:45:58,0.3307,93.42,Active :),1.55
2025-07-13 11:45:58,0.3252,93.46,Active :),0.00
2025-07-13 11:45:58,0.3197,93.51,Active :),0.00
2025-07-13 11:45:58,0.3153,93.56,Active :),0.00
2025-07-13 11:45:58,0.3113,93.60,Active :),0.00
2025-07-13 11:45:58,0.3093,93.64,Active :),0.00
2025-07-13 11:46:00,0.2964,93.64,Drowsy !,0.74
2025-07-13 11:46:00,0.2955,93.60,Drowsy !,0.78
2025-07-13 11:46:00,0.2938,93.56,Drowsy !,0.82
2025-07-13 11:46:00,0.2966,93.55,Drowsy !,0.87
2025-07-13 11:46:00,0.3006,93.59,Drowsy !,0.91
2025-07-13 11:46:00,0.3051,93.63,Drowsy !,0.96
2025-07-13 11:46:00,0.3095,93.59,Drowsy !,1.01
2025-07-13 11:46:00,0.3139,93.54,Drowsy !,1.05
2025-07-13 11:46:00,0.3211,93.54,Drowsy !,1.09
2025-07-13 11:46:00,0.3284,93.50,Active :),1.14
2025-07-13 11:46:00,0.3350,93.50,Active :),1.18
2025-07-13 11:46:00,0.3419,93.54,Active :),1.22
2025-07-13 11:46:00,0.3479,93.58,Active :),1.26
2025-07-13 11:46:00,0.3493,93.58,Active :),1.30
2025-07-13 11:46:00,0.3505,93.54,Active :),1.34
2025-07-13 11:46:00,0.3512,93.50,Active :),1.38
2025-07-13 11:46:00,0.3493,93.50,Active :),1.43
2025-07-13 11:46:00,0.3493,93.54,Active :),1.49
2025-07-13 11:46:00,0.3463,93.58,Active :),1.54
2025-07-13 11:46:00,0.3430,93.58,Active :),1.58
2025-07-13 11:46:00,0.3403,93.54,Active :),1.62
2025-07-13 11:46:00,0.3356,93.54,Active :),0.00
2025-07-13 11:46:00,0.3319,93.54,Active :),0.00
2025-07-13 11:46:02,0.3110,93.91,Drowsy !,0.54
2025-07-13 11:46:02,0.3119,93.91,Drowsy !,0.58
2025-07-13 11:46:02,0.3167,93.87,Drowsy !,0.62
2025-07-13 11:46:02,0.3195,93.87,Drowsy !,0.69
2025-07-13 11:46:02,0.3239,93.86,Drowsy !,0.73
2025-07-13 11:46:02,0.3347,93.90,Drowsy !,0.78
2025-07-13 11:46:02,0.3443,93.90,Drowsy !,0.82
2025-07-13 11:46:02,0.3537,93.81,Drowsy !,0.86
2025-07-13 11:46:02,0.3661,93.73,Active :),0.90
2025-07-13 11:46:02,0.3747,93.61,Active :),0.95
2025-07-13 11:46:02,0.3810,93.52,Active :),0.99
2025-07-13 11:46:02,0.3838,93.44,Active :),1.04
2025-07-13 11:46:02,0.3768,93.44,Active :),0.00
2025-07-13 11:46:02,0.3719,93.40,Active :),0.00
